article_id,meth_cv_alignment,meth_mechanism_operationalised,meth_population_fit,meth_error
Study158,unclear,NA,NA,FALSE
Study159,unclear,not_applicable,unclear,FALSE
Study160,unclear,NA,NA,FALSE
Study161,unclear,NA,NA,FALSE
Study162,unclear,NA,NA,FALSE
Study164,not_applicable,NA,NA,FALSE
Study165,unclear,NA,NA,FALSE
Study166,unclear,NA,NA,FALSE
Study167,not_applicable,NA,NA,FALSE
Study168,unclear,NA,NA,FALSE
Study169,unclear,NA,unclear,FALSE
Study170,unclear,not_applicable,within,FALSE
Study171,unclear,NA,NA,FALSE
Study172,unclear,NA,NA,FALSE
Study173,not_applicable,NA,NA,FALSE
Study174,unclear,NA,NA,FALSE
Study175,aligned,endpoints_only,within,FALSE
Study176,unclear,NA,NA,FALSE
Study177,unclear,NA,NA,FALSE
Study178,unclear,NA,NA,FALSE
Study179,unclear,NA,NA,FALSE
Study180,aligned,endpoints_only,within,FALSE
Study181,unclear,NA,NA,FALSE
Study182,partial,endpoints_only,unclear,FALSE
Study183,unclear,NA,within,FALSE
Study184,unclear,NA,NA,FALSE
Study185,unclear,NA,NA,FALSE
Study186,unclear,NA,NA,FALSE
Study187,unclear,NA,NA,FALSE
Study188,unclear,NA,NA,FALSE
Study189,unclear,NA,NA,FALSE
Study190,aligned,endpoints_only,within,FALSE
Study191,unclear,NA,NA,FALSE
Study192,unclear,not_applicable,within,FALSE
Study193,unclear,not_applicable,unclear,FALSE
Study194,unclear,not_applicable,within,FALSE
Study195,unclear,not_applicable,unclear,FALSE
Study196,unclear,NA,NA,FALSE
Study197,unclear,NA,NA,FALSE
Study198,unclear,not_applicable,within,FALSE
Study199,aligned,endpoints_only,within,FALSE
Study200,unclear,NA,NA,FALSE
Study201,unclear,NA,NA,FALSE
Study203,unclear,NA,NA,FALSE
Study204,unclear,NA,NA,FALSE
Study205,unclear,NA,NA,FALSE
Study206,unclear,not_applicable,unclear,FALSE
Study207,aligned,endpoints_only,within,FALSE
Study208,unclear,NA,NA,FALSE
Study209,unclear,NA,NA,FALSE
Study210,not_applicable,NA,NA,FALSE
Study211,unclear,NA,unclear,FALSE
Study212,unclear,not_applicable,unclear,FALSE
Study213,unclear,NA,NA,FALSE
Study214,unclear,NA,unclear,FALSE
Study215,unclear,NA,NA,FALSE
Study216,unclear,NA,NA,FALSE
Study217,unclear,not_applicable,within,FALSE
Study218,unclear,NA,NA,FALSE
Study219,unclear,not_applicable,within,FALSE
Study220,unclear,NA,NA,FALSE
Study221,unclear,NA,NA,FALSE
Study222,unclear,NA,NA,FALSE
Study223,unclear,not_applicable,within,FALSE
Study224,NA,NA,NA,TRUE
Study225,partial,endpoints_only,within,FALSE
Study226,not_applicable,NA,NA,FALSE
Study227,unclear,not_applicable,within,FALSE
Study228,aligned,endpoints_only,within,FALSE
Study229,unclear,NA,NA,FALSE
Study232,unclear,NA,NA,FALSE
Study233,unclear,NA,NA,FALSE
Study234,unclear,NA,NA,FALSE
Study235,unclear,NA,NA,FALSE
Study236,unclear,NA,NA,FALSE
Study237,unclear,NA,NA,FALSE
Study238,unclear,NA,NA,FALSE
Study239,unclear,NA,NA,FALSE
Study240,unclear,NA,NA,FALSE
Study241,aligned,endpoints_only,within,FALSE
Study242,unclear,NA,NA,FALSE
Study243,unclear,NA,NA,FALSE
Study244,unclear,NA,NA,FALSE
Study245,unclear,NA,NA,FALSE
Study246,unclear,NA,NA,FALSE
Study247,unclear,NA,NA,FALSE
Study248,unclear,NA,NA,FALSE
Study249,unclear,not_applicable,within,FALSE
Study250,not_applicable,NA,NA,FALSE
Study251,unclear,NA,NA,FALSE
Study252,unclear,NA,NA,FALSE
Study253,NA,NA,NA,TRUE
Study254,unclear,NA,NA,FALSE
Study255,unclear,NA,within,FALSE
Study256,unclear,NA,NA,FALSE
Study257,unclear,NA,NA,FALSE
Study258,unclear,NA,NA,FALSE
Study259,unclear,not_applicable,unclear,FALSE
Study260,unclear,NA,within,FALSE
Study261,unclear,NA,within,FALSE
Study262,unclear,not_applicable,unclear,FALSE
Study263,unclear,NA,NA,FALSE
Study264,unclear,NA,NA,FALSE
Study265,unclear,NA,NA,FALSE
Study266,unclear,NA,NA,FALSE
Study267,unclear,NA,NA,FALSE
Study268,unclear,NA,unclear,FALSE
Study269,unclear,NA,NA,FALSE
Study270,unclear,not_applicable,unclear,FALSE
Study271,unclear,NA,NA,FALSE
Study272,unclear,NA,NA,FALSE
