article_id,hypothesis_text,linked_theory,linkage_strength,inference_type,mechanism_specified,mechanism_description,linkage_explanation
Study023,RT protocols with lower numbers of repetitions per set and longer rest times would elicit lower mechanical (velocity loss) and metabolic (blood lactate concentration) fatigue than the opposite configuration.,NA,none,consistent,TRUE,"Abbreviating interset rest times and including shorter but more frequent rest intervals (ie, rest redistribution set structure) is an effective method for maintaining mechanical performance, mitigating fatigue, and reducing disruption to the energy balance and metabolic response in the muscle.",The hypothesis is motivated by the theoretical reasoning that longer rest intervals can lead to lower mechanical and metabolic fatigue.
Study024,Ingestion of 6 mg/kg of caffeine will result in a greater magnitude of fat oxidation during exercise compared to 3 mg/kg.,NA,none,consistent,FALSE,NA,The introduction does not explicitly link this hypothesis to a theoretical framework.
Study025,"We hypothesized that, in contrast to whey protein, collagen protein ingestion increases postexercise muscle connective protein synthesis rates.",NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the theoretical framework of protein ingestion and its effects on muscle connective protein synthesis rates, but no explicit logical connection to a theory is stated."
Study025,"We hypothesized that, in contrast to collagen protein, whey protein ingestion increases postexercise myofibrillar protein synthesis rates.",NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the theoretical framework of protein ingestion and its effects on myofibrillar protein synthesis rates, but no explicit logical connection to a theory is stated."
Study026,participants in both the recent concussion and concussion history groups would display sensory reweighting impairments relative to the control group,Sensory Reweighting Theory,explicit,consistent,TRUE,"the central nervous system reweights sensory feedback, providing insight into the mechanisms underlying postural control impairments following concussion",this hypothesis follows from the Sensory Reweighting Theory's core claims about how the central nervous system regulates postural control through precise integration of sensory feedback
Study027,"We hypothesized that both HWI modalities would increase heat and cardiovascular strain, with HWI 41 but not HWI 40 mitigating EIMD-induced decline in strength parameters and soreness.",NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the theoretical framework of heat shock response and muscle regeneration, but no explicit logical connection is stated."
Study028,HED consumption would improve the research variables in soccer players.,NA,none,motivated,FALSE,NA,The hypothesis is motivated by the study's aim to investigate the effects of energy drinks on blood markers and find a way to improve recovery and increase success in the competition.
Study029,"Due to greater oxygen availability within the muscle, females would demonstrate a higher critical intensity than men when expressed relative to MVC.",NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the physiological sex differences in oxygen delivery to skeletal muscle, but no explicit theoretical framework is provided."
Study029,"There would be no sex difference in the time to task failure when the tasks were compared at the same metabolic intensity of contraction, relative to critical intensity.",NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the idea that sex differences in fatigability might be eliminated when tasks are compared at the same metabolic intensity, but no explicit theoretical framework is provided."
Study029,Recovery from fatiguing exercise would be more rapid in females than males due to the properties of contractile elements of the muscle.,NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the physiological sex differences in skeletal muscle properties, but no explicit theoretical framework is provided."
Study030,"it was hypothesised that astaxanthin supplementation would improve cycling TT performance, an ergogenic effect underpinned by the ability of astaxanthin to enhance fat oxidation during exercise.",NA,none,motivated,TRUE,the ability of astaxanthin to enhance fat oxidation during exercise,"The hypothesis is motivated by the theoretical framework, but there is no explicit logical connection between the theory and the hypothesis."
Study031,We hypothesised that neural and mechanical adaptations conferred by the repeated bout effect would be greater in RF than VL due to exercise model specificity.,Repeated Bout Effect (Rbe),explicit,derived,TRUE,Mechanical adaptations on RF but not on VL due to exercise model specificity.,"The hypothesis is derived from the Rbe theory, which predicts that neural and mechanical adaptations will occur in response to repeated eccentric exercise."
Study031,We hypothesised a lesser cardio-metabolic demand and perceived exertion responses during the second exercise bout compared to the first.,Central Governor Model,implicit,consistent,FALSE,NA,"The hypothesis is consistent with the Central Governor Model, which suggests that the central nervous system adjusts its recruitment strategies to distribute mechanical stress over a greater motor unit pool."
Study033,acute high-volume sets to failure would induce perturbations in cardiac function and increase wall thickness for up to 24 h,NA,none,motivated,FALSE,NA,"The hypotheses are motivated by the research context and previous findings, but no explicit theoretical framework is provided."
Study033,RE would increase circumferential shorting and decrease the afterload,NA,none,motivated,FALSE,NA,"The hypotheses are motivated by the research context and previous findings, but no explicit theoretical framework is provided."
Study034,both the severity and duration of AKP would be associated with quadriceps function and selfreported function,NA,none,consistent,FALSE,NA,"The hypothesis is motivated by the context of anterior knee pain and its effects on quadriceps function, but no explicit theoretical framework is provided."
Study034,a combination of high severity and long duration of AKP would lead to additional deficits in quadriceps function and selfreported function,NA,none,consistent,FALSE,NA,"The hypothesis is motivated by the context of anterior knee pain and its effects on quadriceps function, but no explicit theoretical framework is provided."
Study036,the more mature boys would exhibit better DJ kinetics and SSC function compared with their less mature counterparts,NA,none,motivated,FALSE,NA,"The study aims to investigate the influence of maturity status on DJ kinetics and SSC categorization in young boys, without explicitly linking it to a theoretical framework."
Study037,a cumulative effect of multiple exercise bouts would have a negative effect on cognitive performance and mood on day 2 compared to day 1,Self-Determination Theory,explicit,consistent,TRUE,cumulative effect of multiple exercise bouts on cognitive performance and mood,"The hypothesis is consistent with Self-Determination Theory, which suggests that athletes may be more resistant to the negative effects associated with intense exercise on cognitive performance."
Study037,"there would be a compounding effect of exercise-induced fatigue on cognitive function post-exercise compared to pre-exercise, with the effect increasing across sessions on day 1 and into day 2",Cognitive Component Skills Theory,implicit,consistent,TRUE,exercise-induced fatigue affecting cognitive function post-exercise compared to pre-exercise,"The hypothesis is implied by the Cognitive Component Skills Theory, which suggests that athletes may show enhanced cognitive performance in perceptual-cognitive measures outside of the sport context."
Study038,"2 AEL 1 RR conditions would result in greater concentric force, velocity, and power compared with TS.",NA,none,consistent,FALSE,NA,"The hypothesis is motivated by the theoretical context of potentiation and maintenance effects, but no explicit theory is cited."
Study038,"AEL 1 RR that prescribed 5 AEL repetitions would cause the greatest concentric force, velocity, and power among all 3 conditions.",NA,none,consistent,FALSE,NA,"The hypothesis is motivated by the theoretical context of potentiation and maintenance effects, but no explicit theory is cited."
Study039,"the contralateral-perturbation direction and the upper-trunk location would show greater ACL loading variables compared to ipsilateral-perturbation and no-perturbation directions and the lower-trunk perturbation location, respectively",NA,none,consistent,FALSE,NA,"The hypothesis is motivated by the theoretical framework of ACL loading variables and performance during sidestep cuttings, but there is no explicit logical connection between the theory and the hypothesis."
Study039,contralateral perturbation to the upper trunk would result in decreased cutting velocities and increased stance time compared to other perturbation directions and locations,NA,none,consistent,FALSE,NA,"The hypothesis is motivated by the theoretical framework of ACL loading variables and performance during sidestep cuttings, but there is no explicit logical connection between the theory and the hypothesis."
Study040,"Ingesting carbohydrates during standardized exercise with and without exhaustion would maintain carbohydrate availability, reduce protein degradation, and reduce next-day performance degradation.",NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the context of carbohydrate ingestion and exercise, but no explicit theoretical framework is provided."
Study041,an insufficient use of the legs during the swim segment could be detrimental for the following cycle segment,NA,none,motivated,FALSE,NA,The hypothesis is motivated by the assumption that a previous high-intensity exercise might elicit changes on physiological and biomechanical parameters
Study041,a greater involvement of the muscles of legs during the exercise is expected to reduce the amplitude of the slow component of V Ȯ2 and increase the tolerability to the next exercise,NA,none,motivated,FALSE,NA,The hypothesis is motivated by the assumption that a greater involvement of muscles during exercise can affect physiological parameters
Study041,a specific training program centered on a greater involvement of legs during the swim segment could positively affect the subsequent cycle segment because of a greater lower-body muscle activation and recruitment,NA,none,motivated,FALSE,NA,The hypothesis is motivated by the assumption that a specific training program can positively affect physiological and biomechanical parameters
Study042,older adults might have decreased foot core capacities and might adopt different neuromuscular control strategies during quiet standing,NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the context of aging and its effects on postural stability, but no explicit theoretical framework is provided."
Study043,HIIT 4 × 4 min would improve Vȯ 2max and long-distance endurance performance more than both SIT protocols,NA,none,motivated,FALSE,NA,"The study aims to investigate the optimal interval format for Vȯ 2max improvements in aerobically well-trained females, without explicit theoretical grounding"
Study043,both SIT protocols would improve anaerobic capacity and sprint endurance performance more than HIIT 4 × 4 min,NA,none,motivated,FALSE,NA,"The study aims to investigate the optimal interval format for Vȯ 2max improvements in aerobically well-trained females, without explicit theoretical grounding"
Study043,no differences between HIIT and SIT would be apparent for running economy and LT as a percentage of Vȯ 2max,NA,none,motivated,FALSE,NA,"The study aims to investigate the optimal interval format for Vȯ 2max improvements in aerobically well-trained females, without explicit theoretical grounding"
Study045,those who participate in a 12-week isometric neck strengthening program will have greater strength improvements compared to those who do not,NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the context of neck strengthening programs and their potential to improve strength, but no explicit theoretical connection is made."
Study046,physiological and perceptual responses to pedaling cadence would follow curvilinear curves with different optimal cadences depending on the parameter considered,NA,none,consistent,FALSE,NA,"The hypothesis is motivated by the theoretical framework of optimal cadence, but no explicit logical connection is stated."
Study046,optimal cadence would increase with power output,NA,none,consistent,FALSE,NA,"The hypothesis is motivated by the theoretical framework of optimal cadence, but no explicit logical connection is stated."
Study047,We hypothesise that very low-volume HIFT will attenuate cardiorespiratory adaptations but promote greater neuromuscular effects than SIT.,NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the desire to compare chronic responses between HIFT and SIT, but no explicit theoretical framework is provided."
Study048,"individuals with CAI would show a lower maximal isometric strength, steadiness, and accuracy of both knee extensor and flexor muscles in comparison with healthy controls",Chronic Ankle Instability (CAI),explicit,consistent,TRUE,"abnormalities in strength steadiness and accuracy of muscles acting on the ankle, but not those acting on the hip",the hypothesis is consistent with the theory as individuals with CAI are expected to show neuromuscular impairments
Study049,a greater level of evoked torque would be generated by wide-pulse NMES protocols,NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the theoretical framework of NMES, but no explicit theory is cited."
Study049,this higher torque would lead to greater objective fatigability as well as changes in CNS excitability compared to conventional NMES,NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the theoretical framework of NMES, but no explicit theory is cited."
Study049,the high frequency protocol would induce greater objective fatigability and changes in CNS excitability than low frequency NMES,NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the theoretical framework of NMES, but no explicit theory is cited."
Study050,GRF data and lower-limb joint torques and power would change during diving motion according to the differences in distance and height of the suspended ball.,NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the need to understand the force exertion mechanisms at the time of take-off, but there is no explicit theoretical grounding."
Study053,Electrically evoked contractile output would be impaired less and recover sooner in comparison with voluntary contractile output.,NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the desire to understand the role of central factors in impaired power output during a fatiguing task, but no explicit theoretical grounding is provided."
Study055,an effect of wetsuit use on biomechanical variables that would mitigate fatigability in front crawl at preset speed compared with swimsuit,NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the theoretical context of wetsuit use and its effects on biomechanical variables, but no explicit theory is cited."
Study055,wetsuit use could decrease the comfort and motor coordination of triathletes,NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the theoretical context of wetsuit use and its effects on comfort and motor coordination, but no explicit theory is cited."
Study056,the kinetic and kinematic outputs will vary across the loads used,NA,none,consistent,FALSE,NA,"The hypothesis is not explicitly linked to a theory, but the conceptual language used implies a theoretical grounding"
Study056,the EO level is variable-and load-dependent,NA,none,consistent,FALSE,NA,"The hypothesis is not explicitly linked to a theory, but the conceptual language used implies a theoretical grounding"
Study057,"the higher the oxidative component of RSE (i.e., the shorter the sprint duration and consequently the recovery duration), the larger the hypoxia-induced decrement in RSE performance to exhaustion",Oxidative-Glycolytic Balance,explicit,consistent,TRUE,"the shorter the sprint duration and consequently the recovery duration, the larger the hypoxia-induced decrement in RSE performance to exhaustion",this hypothesis follows from the theory's claims about the relationship between oxidative-glycolytic balance and high-intensity intermittent exercise
Study058,"Impairments in neuromuscular function would be present during bouts of exercise at 70% and 90% GET, but that fatigability would be greater at 110% than 90% GET, with no difference between 90% and 70% GET.",Central Governor Model,explicit,consistent,TRUE,"The loss of efficiency necessitates an increased output through both oxidative and nonoxidative energy pathways, resulting in a disproportionately higher VO2, PCr degradation, and metabolite accumulation.",This hypothesis is consistent with the Central Governor Model's prediction that exceeding the GET could have implications for neuromuscular function.
Study058,Impairments in subsequent exercise performance would be exacerbated in response to work-matched exercise at supra-compared with sub-GET.,Central Governor Model,explicit,consistent,TRUE,The increase in the ATP cost of force generation above the GET has implications for glycogen depletion-related impairments in excitation-contraction coupling during prolonged bouts of exercise.,This hypothesis is consistent with the Central Governor Model's prediction that exceeding the GET could have implications for performance fatigability.
Study059,the combination of Yi Jin Jing and Elastic Band Resistance exercise could improve BMD and related bone metabolic marker levels at various sites in postmenopausal women.,NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the study's context and the potential benefits of combining Yi Jin Jing and Elastic Band Resistance exercise, but no explicit theoretical framework is provided."
Study060,ET would attenuate decreases in muscle function and CSA of the immobilized arm greater than CT,NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the theoretical context of muscle damage and resistance training, but no explicit theory is cited."
Study060,ET would provide greater protective effects against muscle damage induced by maximal eccentric exercise after immobilization than CT,NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the theoretical context of muscle damage and resistance training, but no explicit theory is cited."
Study061,field hockey athletes would display altered scapular balance ratios compared with healthy nonathletes,NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the theoretical framework of sport-specific adaptations in muscle-related variables, but no explicit logical connection is stated."
Study062,"Muscular activation, perception of effort, and cardiorespiratory responses would be greater during ECC cycling exercise at 30 rpm compared with 60 rpm.",NA,none,motivated,FALSE,NA,
Study063,exercisers given more autonomy will have more positive psychological responses,Self-Determination Theory (SDT),explicit,consistent,TRUE,"more autonomy leads to greater enjoyment, more positive affective responses, and adherence",NA
Study066,"hypohydration would impair running performance, compared to when euhydration was maintained with water ingestion",NA,none,motivated,TRUE,"the negative effects of hypohydration could be off-set by the positive effects of weight loss, as the decreased body mass may increase the power-to-weight ratio and reduce the oxygen cost of running","The hypothesis is motivated by the theoretical framework, but there is no explicit logical connection between the theory and the hypothesis."
Study067,we hypothesized that [resisted sprints] will also be effective in this study eliciting PAPE and priming effect,Postactivation Performance Enhancement (PAPE) and Priming,explicit,consistent,FALSE,NA,"the hypothesis is consistent with the theories of PAPE and Priming, which predict that resistance exercise can enhance performance"
Study068,the ability to resist changes in RE would be superior in trained versus untrained runners,NA,none,motivated,FALSE,NA,"The purpose of the present study was to investigate whether the ability to resist changes in VO2max and RE is different between trained and untrained runners, when tested before and after 1 h of running at 70% of VO2max."
Study068,the ability to resist changes in VO2max would be superior in trained versus untrained runners,NA,none,motivated,FALSE,NA,"The purpose of the present study was to investigate whether the ability to resist changes in VO2max and RE is different between trained and untrained runners, when tested before and after 1 h of running at 70% of VO2max."
Study068,"the relative intensity, that is, VO2/attainable VO2max, would increase more in the untrained than in the trained runners",NA,none,motivated,FALSE,NA,"The purpose of the present study was to investigate whether the ability to resist changes in VO2max and RE is different between trained and untrained runners, when tested before and after 1 h of running at 70% of VO2max."
Study069,"the flywheel-based program would improve more thoroughly those actions that rely highly on the stretch-shortening cycle toward performance (ie, countermovement jump [CMJ])",Stretch-Shortening Cycle,explicit,derived,TRUE,the efficient usage of prestretch and eccentric contraction of the muscle to use in the subsequent concentric phase,"this hypothesis follows deductively from the theory's core claims, given explicit auxiliary assumptions"
Study071,"We hypothesized that acute changes in markers of inflammation, cellular damage, BLa, perceived pain and RPE would be greater after HIIT compared to MIIT and that MIIT would be more tolerable in sedentary adults with high BMI.",NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the study's aim to compare the acute effects of HIIT versus MIIT, but no explicit theoretical framework is provided."
Study073,"Performance will improve after introduction of the analogy, and more strongly so for people with a high verbal preference.",NA,none,consistent,FALSE,NA,"The study aims to investigate the effect of analogy learning on performance and information processing, but no specific theoretical framework is mentioned."
Study073,A stronger increase in high-alpha power during movement preparation will be observed for the verbal preference group.,NA,none,consistent,FALSE,NA,"The study aims to investigate the effect of analogy learning on brain processes underlying performance, but no specific theoretical framework is mentioned."
Study074,"bumper plates would show increases in total work, which will also cause an increase in time under load",Mechanical Properties Of Barbell,explicit,derived,TRUE,bar deformation causes a decrease in the total work needed to complete the lift because of the decreased distance that the center of the bar needs to travel,"the hypothesis follows deductively from the theory's core claims, given explicit auxiliary assumptions"
Study074,"bumper plates would cause an increase in muscle activation and an increase in the joint moments at the shoulder, elbow, and wrist",Moment Of Inertia And Its Effects On Movement,explicit,derived,TRUE,the increased moment of inertia of the bumper could reduce the lifter's ability to make small adjustments to force production during the lift and would therefore cause an increase in muscle activation and joint moments,"the hypothesis follows deductively from the theory's core claims, given explicit auxiliary assumptions"
Study075,"music would rearrange the brain's electrical frequency, increase the use of task-irrelevant thoughts, induce more positive affective responses, and enhance enjoyment to a greater degree when compared to other auditory conditions that are devoid of musical components",NA,none,motivated,TRUE,"rearranging the brain's electrical frequency, increasing task-irrelevant thoughts, inducing positive affective responses, and enhancing enjoyment",The hypothesis is motivated by the theoretical framework of auditory stimuli influencing psychological responses and brain activity during physical activity
Study076,"a more negative touchdown distance (i.e., landing with the stance foot further behind/less far in front of the CM) would be associated with a greater ratio of forces during the first four steps of a maximal effort sprint",NA,none,consistent,FALSE,NA,"The hypothesis is motivated by the research context and previous findings, but no explicit theoretical framework is provided."
Study076,a more negative touchdown distance would be associated with greater initial acceleration performance,NA,none,consistent,FALSE,NA,"The hypothesis is motivated by the research context and previous findings, but no explicit theoretical framework is provided."
Study077,stroboscopic eyewear should provide stronger performance gains after the warm-up when compared to normal vision,NA,none,consistent,FALSE,NA,"The expected effect is based on the assumption that stroboscopic vision increases attention levels, which are related to visuomotor abilities like reaction speed."
Study078,a low relative load (60% 1RM) and a high velocity loss (30%) would result in an increased RE 2000 time trial than a high relative load (80% 1RM) and a low velocity loss (10%),NA,none,consistent,FALSE,NA,
Study078,"a decrement in A line, more predominant in v 0 than in L 0, would be expected after the most fatiguing protocols",NA,none,consistent,FALSE,NA,
Study079,less available time would imply higher mental fatigue,"Psychobiological Model Of Endurance, Strength Model Of Self-Control, Ego-Depletion Model",explicit,consistent,TRUE,cognitive and emotional efforts lead to mental fatigue,"the theories predict that time constraints can cause ego-depletion, leading to increased mental fatigue"
Study079,less available time would imply higher internal (Hypothesis 2a) and external (Hypothesis 2b) physical load,Constraint-Led Approach,explicit,consistent,TRUE,players may compensate for time constraints by increasing physical efforts,the Constraint-Led Approach suggests that task constraints can influence physical load
Study080,"it was hypothesized that 3D MOT training will lead to positive effects in near (i.e., measures of attention) and far-transfer (i.e., decision-making)",Modified Perceptual Training Framework,explicit,consistent,TRUE,"The transfer of perceptual-cognitive training depends on three factors: The first factor is the perceptual function that is trained. In other words, the complexity of the visual-cognitive skill similar to the targeted task in real-life.",The hypothesis follows from the theoretical assumptions of 3D MOT and existing evidence
Study081,higher MTPJ stiffness would lead to increased jump height and take-off velocity,NA,none,motivated,FALSE,NA,theoretical expectations based on previous literature
Study082,intrinsic and extrinsic foot muscles would be damaged by full marathon running and that this damage would be more prominent in the intrinsic foot muscle damages than in extrinsic muscles,Core Stability Theory,explicit,consistent,TRUE,"the intrinsic foot muscles work as primary and local stabilizers of the foot arches, whereas the extrinsic foot muscles work as global movers, and provide some stability to the arch",The hypothesis follows from the Core Stability Theory's concept that intrinsic foot muscles support the foot longitudinal arch primarily
Study083,sprint performance and anteroposterior propulsive forces would decrease post-fatigue,NA,none,motivated,TRUE,"reduced force production from the knee flexors, reduced capacity to generate increased anteroposterior forces during the stance phase of sprinting",the study aims to understand the effect of fatigue on sprint running mechanics in football players
Study084,the morphological properties (length and CSA) of AT would increase,Mechanoresponsive Theory,explicit,derived,TRUE,increased mechanical loading on AT,"consistent with the Mechanoresponsive Theory, which predicts that increased load can improve tendon properties"
Study084,"the peak force, stress, corresponding loading rate, and elongation of AT would increase",Mechanoresponsive Theory,explicit,derived,TRUE,increased mechanical loading on AT,"consistent with the Mechanoresponsive Theory, which predicts that increased load can improve tendon properties"
Study084,the majority of runners who were accustomed to RFS would transition to FFS,NA,none,motivated,FALSE,NA,"theoretical reasoning is implied by the conceptual language used, but no explicit theory connection is made"
Study085,an interaction would be present between shoe and limb conditions,NA,none,motivated,FALSE,NA,"The study aims to investigate the effects of shoe and limb conditions on knee joint biomechanics, but no specific theoretical framework is mentioned."
Study085,the DL in the MC shoe would have smaller sagittal plane knee joint angles and moments and larger frontal plane knee joint angles and moments than the NDL in the LT shoe,NA,none,motivated,FALSE,NA,"The study hypothesizes a specific relationship between shoe and limb conditions, but no theoretical framework is mentioned."
Study085,smaller sagittal plane and frontal plane ankle mechanics and greater vertical and posterior directed GRF would be observed when landing while wearing the MC,NA,none,motivated,FALSE,NA,"The study hypothesizes a specific relationship between shoe and ankle mechanics, but no theoretical framework is mentioned."
Study085,all GRF would remain similar between limbs,NA,none,motivated,FALSE,NA,"The study hypothesizes a specific relationship between limbs, but no theoretical framework is mentioned."
Study086,The need to produce HI and VHI activities all across soccer game,NA,none,none,FALSE,NA,No explicit or implicit theoretical grounding is provided for this statement
Study087,"a single, submaximal prolonged run would increase PTA and reduce FMS scores in novice runners",NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the theoretical framework of running-related injuries, but no explicit theory is cited."
Study087,3 weeks of progressively increasing running volume would increase PTA and reduce FMS scores compared with those before and after the submaximal prolonged run at baseline testing,NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the theoretical framework of running-related injuries, but no explicit theory is cited."
Study088,decreased perceived effort would disproportionately correlate with throwing metrics (elbow stress and ball velocity),NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the theoretical framework of injury prevention and throwing mechanics, but no explicit theory is cited."
Study089,peak insole force and CWPF would decrease with increased step rate,NA,none,consistent,FALSE,NA,The hypothesis is motivated by the theoretical understanding of overuse injuries and the relationship between load magnitude and microstructural damage.
Study089,peak axial sacral acceleration would decrease with increased step rate,NA,none,consistent,FALSE,NA,The hypothesis is motivated by the theoretical understanding of overuse injuries and the relationship between load magnitude and microstructural damage.
Study089,peak axial sacral acceleration multiplied by body mass would correlate with peak insole force on cohort and individual levels,NA,none,consistent,FALSE,NA,The hypothesis is motivated by the theoretical understanding of overuse injuries and the relationship between load magnitude and microstructural damage.
