article_id,disc_reengagement,disc_overclaim,disc_quality,disc_error
Study262,partial,FALSE,adequate,FALSE
Study263,partial,FALSE,adequate,FALSE
Study264,partial,FALSE,adequate,FALSE
Study265,partial,FALSE,adequate,FALSE
Study266,partial,FALSE,adequate,FALSE
Study267,partial,FALSE,adequate,FALSE
Study268,partial,FALSE,adequate,FALSE
Study269,partial,FALSE,adequate,FALSE
Study271,partial,FALSE,adequate,FALSE
Study272,partial,FALSE,adequate,FALSE
