canonical_name,aliases,domain,key_authors,year_proposed,definition,boundaries,example_use,times_extracted,last_updated,theory_type,testability_ceiling,home_domain,cross_domain_application
Androgenic/Hormonal Theory Of Recovery,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Antioxidant/Anti-Inflammatory Theory Of Muscle Damage,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Arthrogenic Muscle Inhibition (Ami),NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Arthrogenic Muscle Inhibition (Ami) Model,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,2,2026-04-18,causal,NA,NA,NA
Astaxanthin Metabolic Enhancement Theory,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Athlete-Perception Modification Hypothesis,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Attentional Focus Theory (As Applied To Exercise),NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Attentional Focus/Interoceptive Processing Framework,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Automatization / Skill Acquisition Theory,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Autonomic Nervous System (Ans) Homeostatic/Regulatory Framework,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Autonomic Recovery Model (Post-Wbc),NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Axonal Strength-Duration Properties,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Bayesian Integration Framework,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,mathematical,NA,NA,NA
Bernstein's Perspective On Degrees Of Freedom & Functional Variability,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,paradigm,NA,NA,NA
Biomechanical Chain Model (Implicit),NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Biomechanical Determinants Of Swimming Performance,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,taxonomic,NA,NA,NA
Biomechanical Overuse Injury Model (Implicit),NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Bone Mechanostat Theory / Frost's Mechanostat Theory,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Bone Stress Injury Etiology (Mechanical Loading Imbalance),NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Brain Endurance Training (Bet) Model,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Caffeine's Adenosine Receptor Antagonism Mechanism,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Caffeine-Induced Substrate Oxidation Shift,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Caloric Balance Theory (Energy Balance Theory),NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Carbohydrate Utilization Alteration Hypothesis,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Central And Peripheral Fatigue Framework,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,taxonomic,NA,NA,NA
Central Bottleneck Theory / Dual-Task Interference,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Central Vs. Peripheral Fatigue Framework,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,taxonomic,NA,NA,NA
Cerebellar Dysfunction Theory,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Cerebral Lactate Metabolism Hypothesis,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Cognitive Component Skills Theory,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,taxonomic,NA,NA,NA
Cognitive Interference Control System Model,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Cognitive Style Theory (Visual-Verbal Preference),NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,taxonomic,NA,NA,NA
Cold-Induced Autonomic And Sleep Regulation Model,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Cold-Induced Autonomic And Vascular Response Model,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Concurrent Training Interference Theory,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Conscious Processing Hypothesis / Explicit Monitoring Theory (As Applied To Motor Learning),NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Constant Limb Hypothesis,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Constrained Action Hypothesis,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,2,2026-04-18,causal,NA,NA,NA
Constraints-Led Approach (As Applied To Training Design),NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,paradigm,NA,NA,NA
Constraints-Led Approach (Cla),NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,paradigm,NA,NA,NA
Contrast Training Method,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,paradigm,NA,NA,NA
Core Stability Of The Foot (Concept),NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,taxonomic,NA,NA,NA
Corollary Discharge / Central Motor Command Model Of Perceived Exertion,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Corticospinal Adaptation Model (Implicit),NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
"Coupling/Decoupling Interactions Model (Boisgontier Et Al., 2014)",NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,taxonomic,NA,NA,NA
Critical Intensity/Power Model,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,mathematical,NA,NA,NA
Critical Power Model,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,mathematical,NA,NA,NA
Critical Torque / Critical Power Model,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,mathematical,NA,NA,NA
Cross-Education Effect,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Cumulative Loading / Tissue Stress Theory,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Davis's Law,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Developmental Differences In Information Processing,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,taxonomic,NA,NA,NA
"Directional Focus Framework (Winkelman, 2018)",NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Distal-To-Proximal Shift In Joint Kinetics With Aging,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Divergent Thinking Theory Of Creativity,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,taxonomic,NA,NA,NA
"Dlpfc Role In Pain Affect Regulation (Lorenz Et Al., 2003; Boggio Et Al., 2008)",NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Dose-Response Relationship (Nmes Effectiveness),NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,mathematical,NA,NA,NA
Dose-Response Relationship (Thermotherapy For Recovery),NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,mathematical,NA,NA,NA
Dose-Response Relationship For Foam Rolling,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,mathematical,NA,NA,NA
Dual-Mode Theory,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Dual-Task Gait Impairment Extrapolation Theory,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Dual-Task/Resource Competition Framework,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,paradigm,NA,NA,NA
Eccentric Overload (Eo) Framework,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,taxonomic,NA,NA,NA
Eccentric Overload Training Theory,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Eccentric Strength As A Functional Surrogate/Determinant,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Ecological Dynamics,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,5,2026-04-18,paradigm,NA,NA,NA
Ecological Validity / Perception-Action Coupling Framework,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,paradigm,NA,NA,NA
Effective Mechanical Advantage (Ema) / Joint Gear Ratio Theory,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Energetic Arousal / Physiological Priming Framework,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Energy Balance / Metabolic Theory Of Fat Loss,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Energy Dissipation/Footwear Stiffness Model,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Energy Substrate Mobilisation Model (Intermittent Fasting),NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Exercise Pressor Reflex (Epr) Theory,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Exercise-Induced Arterial Hypoxemia (Eiah) Fatigue Model,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Exercise-Induced Cognitive Enhancement Framework,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Expectancy/Placebo Theory,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Fatigue Failure Theory (Of Musculoskeletal Structures),NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Fatigue-Adaptation Framework,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Fatigue-Asymmetry Relationship Theory,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Fatigue-Induced Motor Control Alteration Theory,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Fatigue-Injury Model (Implicit),NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Fatigue-Injury Model (Via Proprioception Decline),NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Fatigue-Pap Balance Model,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Fatigue-Potentiation Balance Model,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Feed-Forward Motor Control Adaptation,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Fick Principle (As Applied To Vo2max),NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,mathematical,NA,NA,NA
Focus Of Attention (External Vs. Internal Focus) Framework,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Foot Core System,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,taxonomic,NA,NA,NA
Force-Vector Theory Of Sprint Acceleration,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Force-Velocity (F-V) Relationship,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,mathematical,NA,NA,NA
Force-Velocity Profile Concept,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,mathematical,NA,NA,NA
Force-Velocity Relationship (Power Profile),NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,mathematical,NA,NA,NA
Force-Velocity-Power Relationship In Sprinting,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,mathematical,NA,NA,NA
Force-Velocity/Power Determinants Of Sprint Acceleration,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Frontal Midline Theta (Fmθ) - Cognitive Control Framework,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Functional Classification-Performance Theory,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Functional Equivalence Hypothesis,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Functional Plasticity Theory Of Stroboscopic Training,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Gut Microbiota-Dysbiosis Theory Of Obesity,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Heat Shock Protein (Hsp) Accumulation Model,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Hertel And Corbett's Triad Model Of Cai,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,taxonomic,NA,NA,NA
Hrv As A Psychophysiological Marker Framework,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,taxonomic,NA,NA,NA
Hypoxia-Induced Physiological Adaptation Model,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Impaired Calcium Handling Theory,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Implicit Neuromuscular Fatigue Equivalence Theory,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Implicit Physiological Load Theory,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Information Processing Approach (To Quiet Eye),NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Information-Processing Framework (Expert-Novice Paradigm),NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,paradigm,NA,NA,NA
Information-Processing Framework (Implicit),NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Intralimb Redistribution Of Impact-Force Attenuation,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Inverted-U Hypothesis,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Ischemic Conditioning (Ipc/Icpost) Mechanism Framework,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Joint Energetics As A Mechanical Load Model,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Joint Work As A Surrogate For Muscle Mechanical Energy,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Joint Work Redistribution Model (Fatigue-Induced Movement Adaptation),NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Joint-Specific Force Transfer Principle,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Kinetic Chain / Sequential Momentum Transfer Model,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Kinetic Chain Model Of Pitching,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Kinetic Chain Theory,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,2,2026-04-18,causal,NA,NA,NA
Kinetic Chain Theory (As Applied To Baseball Pitching),NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Kinetic Chain Theory / Proximal Stability Model,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Leg Stiffness-Running Economy Relationship,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Length-Tension Relationship,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Length-Tension Relationship (Muscle Physiology),NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Limb Dominance / Asymmetry Model (Implicit),NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Limb Dominance/Lateralization Framework,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,taxonomic,NA,NA,NA
Load-Velocity Relationship Model (For Neuromuscular Fatigue Assessment),NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,mathematical,NA,NA,NA
Maturity-Dependent Neuromuscular Adaptation,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Mechanical Determinants Of Golf Performance (Implicit Framework),NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,taxonomic,NA,NA,NA
Mechanical Linkage Model (Mtpj Stiffness To Leg Stiffness To Jump Performance),NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Mechanical Phase-Specificity Of Sprint Acceleration,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,taxonomic,NA,NA,NA
Mechanical Tension / Motor Unit Recruitment Theory Of Hypertrophy,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Mechano-Metabolic Sensitivity Framework,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Mechanoreceptor-Mediated Neuromuscular Modulation,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Mechanoresponsive Adaptation Theory,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Mechanostat Theory / Bone And Connective Tissue Adaptation To Mechanical Loading,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Mechanotransduction In Tendon Healing,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Menstrual Cycle Phase Effects On Neuromuscular Performance,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Mental Fatigue-Performance Impairment Framework,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Metabolic Resource Shift Theory,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Metabolic Stress Theory Of Bfr Adaptation,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Metabolic Stress Theory Of Mitochondrial Biogenesis,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Metabolic Stress Theory Of Muscle Hypertrophy,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Metabolic Thresholds / Exercise Intensity Domains Model,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,taxonomic,NA,NA,NA
Metabolic/Physiological Mechanism Of Fatigue (Critical Intensity Framework),NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
