article_id,hypothesis_text,linked_theory,linkage_strength,inference_type,mechanism_specified,mechanism_description,linkage_explanation
Study016,"ROTC cadets would exhibit improvements in all skeletal, body composition, and performance metrics post 6 months compared to their baseline values and demonstrate similar or greater improvements than physically active matched controls.",NA,none,none,FALSE,NA,The hypothesis is not linked to any theoretical framework; it is an empirical prediction based on the expected efficacy of the updated training programme.
Study017,HIIT will be superior to MICT in improving VO2peak (expected 50% superiority of HIIT over MICT).,NA,none,none,FALSE,NA,"This hypothesis is empirically motivated by prior research findings, not derived from any theoretical framework."
Study018,"Acute caffeine supplementation would improve sprint performance, along with increases in propulsive forces.",Force-Velocity/Power Determinants Of Sprint Acceleration,explicit,consistent,TRUE,"Caffeine improves the rate of force development, which may be associated with an improvement of sprint performance, and propulsive forces are determinants of sprint acceleration performance.","The hypothesis is explicitly linked to the theory that propulsive forces are determinants of sprint acceleration, and the proposed mechanism (caffeine → rate of force development → propulsive force → sprint performance) is consistent with this theoretical framework."
Study019,"Tendon adaptation would be more sensitive to the magnitude (i.e., higher) of mechanical load, while both low- and high-load muscular contractions until failure would result in similar alterations in muscle thickness, pennation angle, and muscle strength.",Mechano-Metabolic Sensitivity Framework,implicit,consistent,TRUE,"Tendon adapts effectively to a strain of 4.5% to 6.5%, which requires high mechanical loading, via intracellular signaling that increases collagen and matrix protein synthesis. Muscle responds well to various loading modalities when a specific training volume is exceeded, with contractions to failure inducing anabolic signals (e.g., metabolite accumulation) for hypertrophy, independent of load magnitude.",The hypothesis is consistent with the framework's core claim that tendon and muscle have different sensitivities to mechanical load versus metabolic stress.
Study019,"Tendon stiffness, Young's modulus, and tendon size would only increase in the dorsiflexed (high mechanical load) condition following the intervention.",Tendon Strain-Based Adaptation Model,implicit,consistent,TRUE,"A higher operating tendon strain (achieved under high mechanical load) is transferred to the cellular cytoskeleton, causing intracellular signaling for increased collagen and matrix protein synthesis, leading to adaptation.",The hypothesis is consistent with the model's claim that tendon adaptation is sensitive to the magnitude of mechanical demand and operating tendon strain.
Study019,Adaptive changes in morphological and mechanical properties of the muscle would not differ between dorsiflexed (high load) and plantarflexed (low load) conditions.,Muscle Failure/Metabolic Stress Adaptation Model,implicit,consistent,TRUE,"Exercise to volitional failure induces anabolic signals (e.g., accumulation of lactate, hydrogen ions, inorganic phosphate) that promote muscle hypertrophy and strength gains, independent of the load magnitude.","The hypothesis is consistent with the model's claim that muscle adapts effectively to exercise to failure via metabolic stress, without requiring high mechanical loads."
Study020,"There would be differences in the activation of scapular and shoulder muscles, as well as in activation ratios, between LP and HP variations, and as body weight support increased.",NA,none,none,FALSE,NA,The hypothesis is not linked to any named or implied theoretical framework; it is motivated by prior empirical observations and practical rehabilitation concerns.
Study021,RT can be safely practiced during Ramadan in both FED and FAST while maintaining muscle strength and hypertrophy.,NA,none,none,FALSE,NA,"The hypothesis is motivated by the practical need to resolve contradictory findings in the literature, not by a theoretical framework."
Study021,There are larger increases in muscle strength and hypertrophy when training in the FED compared with the FAST.,NA,none,none,FALSE,NA,"The hypothesis is derived from practical observations and contrasting opinions in the literature, not from a theoretical causal model."
Study022,"Overreached endurance athletes would have a reduced respiratory exchange ratio (RER) during submaximal exercise, indicating reduced carbohydrate utilization.",Carbohydrate Utilization Alteration Hypothesis,implicit,abductive,FALSE,NA,"The hypothesis is framed as testing whether carbohydrate utilization is 'indeed altered' based on prior observations in recreationally active individuals, making it an abductive inference from data to a theoretical explanation."
Study022,Overreached endurance athletes would have a CGM detectable decrease in circulating glucose during exercise.,Carbohydrate Utilization Alteration Hypothesis,implicit,abductive,FALSE,NA,"This prediction extends the carbohydrate alteration concept to a measurable biomarker (circulating glucose), based on prior observations in untrained individuals."
Study022,This response would return to baseline after a week of recovery training.,Overreaching Model,implicit,consistent,FALSE,NA,The prediction that maladaptive changes reverse with recovery is consistent with the Overreaching Model's definition of overreaching as a temporary state.
Study023,RT protocols with lower numbers of repetitions per set and longer rest times would elicit lower mechanical (velocity loss) and metabolic (blood lactate concentration) fatigue than the opposite configuration.,Fatigue-Adaptation Framework,implicit,abductive,TRUE,"Longer set configurations (more repetitions per set) are associated with higher mechanical and metabolic markers of fatigue, anaerobic glycolysis, and decreases in performance, which can potentially impact the recovery and adaptation processes. Shorter rest intervals result in significant elevation in blood lactate concentration and decreased mechanical performance, whereas longer rest intervals allow for better recovery and maintenance of performance.","The hypothesis is compatible with the Fatigue-Adaptation Framework's principle that specific acute fatigue profiles (mechanical and metabolic) influence subsequent recovery and adaptation, but the prediction was generated from prior empirical observations of set configuration and rest interval effects."
Study024,Fat oxidation would be higher with 3 mg/kg and 6 mg/kg of caffeine than with a placebo.,Caffeine-Induced Substrate Oxidation Shift,implicit,consistent,FALSE,NA,The hypothesis is consistent with the established theory that caffeine shifts substrate oxidation towards higher fat utilization during submaximal aerobic exercise.
Study024,The magnitude of the effect on fat oxidation would be higher with 6 mg/kg than with 3 mg/kg of caffeine.,Caffeine-Induced Substrate Oxidation Shift,implicit,abductive,FALSE,NA,"The dose-response hypothesis is framed within the substrate oxidation theory but appears motivated by prior empirical findings on caffeine's ergogenic effects, not by a specific causal claim of the theory."
Study025,"Collagen protein ingestion increases postexercise muscle connective protein synthesis rates, in contrast to whey protein.",Amino Acid Precursor Availability Model,implicit,consistent,TRUE,"Collagen is high in glycine and proline, which are the most abundant amino acids in connective tissue structures, and may therefore provide the necessary precursors to stimulate its synthesis.","The hypothesis is consistent with the Amino Acid Precursor Availability Model, which suggests that the availability of specific amino acid precursors (glycine and proline from collagen) limits the synthesis of specific proteins (connective tissue)."
Study025,"Whey protein ingestion increases postexercise myofibrillar protein synthesis rates, in contrast to collagen protein.",Amino Acid Precursor Availability Model,implicit,consistent,TRUE,"Whey protein is a high-quality protein source rich in essential amino acids, particularly leucine, which are known to stimulate myofibrillar protein synthesis.","The hypothesis is consistent with the Amino Acid Precursor Availability Model, as it posits that the amino acid profile of whey (high in essential amino acids) makes it effective for stimulating myofibrillar, but not necessarily connective, protein synthesis."
Study026,Participants in both the recent concussion and concussion history groups would display sensory reweighting impairments relative to the control group.,Sensory Reweighting Theory,implicit,abductive,TRUE,"In the absence of visual feedback, the central nervous system should increase reliance on vestibular and proprioceptive feedback to maintain postural stability via sensory reweighting. Observed postural control impairments in eyes-closed conditions after concussion suggest that relying on proprioceptive and vestibular information may be insufficient due to impairments in this reweighting process.","The hypothesis is framed as an expected impairment in the sensory reweighting process, which is the core function described by Sensory Reweighting Theory."
Study027,Both HWI modalities (40°C and 41°C) would increase heat and cardiovascular strain.,Dose-Response Relationship (Thermotherapy For Recovery),implicit,consistent,FALSE,NA,The hypothesis is consistent with the general dose-response principle that higher thermal doses produce greater physiological strain.
Study027,HWI 41 but not HWI 40 would mitigate EIMD-induced decline in strength parameters and soreness.,Heat Shock Protein (Hsp) Accumulation Model,implicit,abductive,TRUE,"A sufficient rise in core body temperature is needed to trigger a heat shock response and subsequent HSP accumulation, which plays a key role in muscle regeneration.","The hypothesis was generated from prior empirical observations of a dose-response pattern, and the Hsp model is invoked to provide a plausible mechanistic explanation for why 41°C might work while 40°C might not."
Study028,HED consumption would improve the research variables (liver and muscle damage enzymes and cardiovascular parameters) in soccer players.,NA,none,none,FALSE,NA,The hypothesis is not linked to any theoretical framework; it is motivated by prior empirical findings and practical contradictions in the literature.
Study029,"Due to greater oxygen availability within the muscle, females would demonstrate a higher critical intensity than men when expressed relative to MVC.",Critical Intensity/Power Model,implicit,consistent,TRUE,"Greater oxygen availability within the muscle (implied via greater type I fibre proportion, capillarisation, and skeletal muscle oxygenation in females).","The hypothesis is consistent with the Critical Intensity/Power Model's principle that critical intensity is determined by oxidative metabolic capacity and oxygen delivery, and the cited physiological sex differences align with that framework."
Study029,"There would be no sex difference in the time to task failure when the tasks were compared at the same metabolic intensity of contraction, relative to critical intensity.",Critical Intensity/Power Model,implicit,consistent,FALSE,NA,"The hypothesis tests a core tenet of the Critical Intensity/Power Model: that time to task failure is determined by the intensity relative to the individual's critical intensity, not absolute intensity."
Study029,Recovery from fatiguing exercise would be more rapid in females than males due to the properties of contractile elements of the muscle.,Metabolic/Physiological Mechanism Of Fatigue (Critical Intensity Framework),implicit,abductive,TRUE,Properties of contractile elements of the muscle (implied to be linked to greater capillary density facilitating metabolite clearance and ATP/PCr re-synthesis).,"The hypothesis is abductively generated from prior, limited empirical observations of faster recovery in females and the theoretical link between muscle properties (e.g., capillarity) and recovery mechanisms within the fatigue framework."
Study030,"Astaxanthin supplementation would improve cycling TT performance, an ergogenic effect underpinned by the ability of astaxanthin to enhance fat oxidation during exercise.",Astaxanthin Metabolic Enhancement Theory,implicit,consistent,TRUE,The ability of astaxanthin to enhance fat oxidation during exercise.,"The hypothesis is consistent with the theory that astaxanthin upregulates metabolic enzymes (CPT1, AMPK) to promote fat oxidation, which is proposed to underpin ergogenic effects."
Study031,Neural and mechanical adaptations conferred by the repeated bout effect would be greater in RF than VL due to exercise model specificity.,Repeated Bout Effect (Rbe) Framework,implicit,consistent,TRUE,"The trunk position and load distribution during loaded downhill walking favors hip extension, which induces a relatively greater lengthening of RF than VL due to their biomechanical properties (i.e., mono- and bi-articular muscles). Consequently, RF may exercise at a longer muscle length and could be more susceptible to muscle damage and adaptations.","The hypothesis is consistent with the RBE framework's general principle that adaptations are specific to the mechanical stress experienced, but it is not a direct, logical deduction from the theory's core claims."
Study031,A lesser cardio-metabolic demand and perceived exertion responses during the second exercise bout compared to the first.,Repeated Bout Effect (Rbe) Framework,implicit,consistent,TRUE,"Neural adaptations may lead to a reduced energy cost during a repeated bout of eccentric exercise, translating into lower cardio-metabolic responses. The protection conferred by mechanical adaptations would translate into a lesser EMG activity increase during a second bout, which is associated with lower metabolic cost.","The hypothesis is compatible with the RBE framework's protective effect and the cited prior finding of lower metabolic cost in a second bout, but it is not a necessary, deductive prediction of the theory."
Study032,The immobilization would exacerbate muscle damage indicated by changes in indirect markers of muscle damage and proprioception after MaxEC when compared with the control condition without immobilization.,NA,none,none,TRUE,"Immobilization causes greater atrophy in type II muscle fibers, and type II fibers are more prone to eccentric exercise-induced muscle damage.","The hypothesis is empirically motivated by the observed physiological effects of immobilization and eccentric exercise, with no theoretical framework cited."
Study033,Acute high-volume sets to failure would induce perturbations in cardiac function and increase wall thickness for up to 24 h.,NA,none,none,FALSE,NA,The hypothesis is not linked to any theoretical framework; it is motivated by a synthesis of prior empirical findings and a gap in the literature.
Study033,"RE would increase circumferential shortening and decrease the afterload, as relatively significant contributions to post-exercise cardiac performance.",NA,none,none,FALSE,NA,The hypothesis is not linked to any theoretical framework; it is based on prior empirical observations of cardiac mechanics following exercise.
Study034,Both the severity and duration of AKP would be associated with quadriceps function and self-reported function.,"Pain Adaptation Model (Hodges & Tucker, 2010)",implicit,consistent,TRUE,"Pain causes neuromuscular adaptations (e.g., changes in motoneuron-pool recruitment patterns) that can lead to muscle inhibition and weakness, which in turn are associated with altered biomechanics and decreased function.","The hypothesis is consistent with the Pain Adaptation Model's core claim that pain alters neuromuscular activity, which can lead to long-term deficits in muscle function."
Study034,A combination of high severity and long duration of AKP would lead to additional deficits in quadriceps function and self-reported function.,Arthrogenic Muscle Inhibition (AMI) Model,implicit,consistent,TRUE,"Persistent pain (high severity, long duration) induces an arthrogenic muscle response, especially in the quadriceps, leading to persistent weakness and inhibition, which are associated with altered biomechanics and decreased self-reported function.",The hypothesis is consistent with the AMI model's focus on persistent joint pathology leading to ongoing neuromuscular inhibition and functional deficits.
Study035,The traditional (TRT) condition will provide a greater decline in neuromuscular performance than the alternated (ART) condition.,NA,none,none,FALSE,NA,"The hypothesis is empirically motivated by the practical observation that traditional sequencing may lead to greater fatigue, with no theoretical framework cited to support it."
Study035,The TRT condition would provide greater RPE than the ART condition.,NA,none,none,FALSE,NA,"The hypothesis is empirically motivated, predicting higher perceived exertion for the traditional format, with no theoretical grounding provided."
Study035,The ART condition increases the magnitude of reductions in BP when compared with the TRT condition.,NA,none,none,TRUE,RT protocols that use greater muscle mass have a greater postexercise hypotension effect. Alternating whole-body exercises (ART) may engage greater total muscle mass more continuously than a traditional split (TRT).,The hypothesis is abductively inferred from prior empirical findings (that greater muscle mass engagement leads to greater hypotension) and applied to a novel exercise order comparison.
Study036,More mature boys would exhibit better drop jump kinetics and stretch-shortening cycle function compared with their less mature counterparts.,NA,none,none,FALSE,NA,"The hypothesis is empirically motivated by prior observations and research gaps, with no theoretical framework cited to support it."
Study037,A cumulative effect of multiple exercise bouts would have a negative effect on cognitive performance and mood on day 2 compared to day 1.,"Metabolic Resource Shift Theory, Neurochemical Inhibition Theory",implicit,consistent,TRUE,"Excessive loads placed on the body during congested HIIE lead to cumulative fatigue and limited recovery, which could compromise cognitive processes in the same manner that physiological and performance outcomes are affected. Specifically, theories suggest a shift in metabolic resources away from brain areas for higher-order cognition and/or neurochemical inhibition from excessive catecholamines, cortisol, and BDNF.","The hypothesis is compatible with the cited theories that propose mechanisms (metabolic shift, neurochemical inhibition) by which intense, fatiguing exercise impairs higher-order cognitive processes."
Study037,"There would be a compounding effect of exercise-induced fatigue on cognitive function post-exercise compared to pre-exercise, with the effect increasing across sessions on day 1 and into day 2.","Metabolic Resource Shift Theory, Neurochemical Inhibition Theory",implicit,consistent,TRUE,"Cumulative fatigue coupled with limited recovery between successive exercise sessions compromises cognitive processes, potentially via the same metabolic or neurochemical inhibitory mechanisms cited for the first hypothesis.",The hypothesis aligns with the theoretical mechanisms that explain how repeated intense exercise could lead to progressively greater cognitive impairment due to accumulating fatigue and insufficient recovery.
Study038,"The two AEL + RR conditions would result in greater concentric force, velocity, and power compared with traditional sets (TS).",NA,none,none,TRUE,Potentiation from AEL and maintenance from RR are expected to counteract the substantial decrease in concentric velocity and power observed during high-volume BS exercise with TS.,"The hypothesis is empirically motivated by prior studies showing AEL can potentiate and RR can maintain concentric kinetics/kinematics, with no theoretical framework cited."
Study038,"AEL + RR that prescribed 5 AEL repetitions would cause the greatest concentric force, velocity, and power among all three conditions.",NA,none,none,TRUE,"Given that potentiation and maintenance effects seem to exist until the fourth or fifth repetition, prescribing AEL for 5 cluster repetitions would provide more frequent potentiation and maintenance across the 10-repetition set.","The hypothesis is derived from an observed empirical pattern (effects last 4-5 reps) and a practical design choice to test 'each end' of a proposed effective range (2-5 reps), not from a theoretical framework."
Study039,"The contralateral-perturbation direction and the upper-trunk location would show greater ACL loading variables compared to ipsilateral-perturbation and no-perturbation directions and the lower-trunk perturbation location, respectively.",NA,none,none,FALSE,NA,"The hypothesis is based on prior empirical findings from jump-landing studies, not on a formal theoretical framework."
Study039,Contralateral perturbation to the upper trunk would result in decreased cutting velocities and increased stance time compared to other perturbation directions and locations.,NA,none,none,FALSE,NA,"The hypothesis is motivated by the practical need to understand the link between perturbation and cutting performance, without a theoretical causal model."
Study040,"Ingesting carbohydrates during standardized exercise with and without exhaustion would maintain carbohydrate availability, reduce protein degradation, and reduce next-day performance degradation.",NA,none,none,TRUE,"Maintaining carbohydrate availability reduces protein degradation, which in turn reduces next-day performance degradation.","The hypothesis is empirically motivated by prior findings on carbohydrate ingestion and exhaustion, with no theoretical framework cited."
Study041,A specific training program centered on a greater involvement of legs during the swim segment could positively affect the subsequent cycle segment because of a greater lower-body muscle activation and recruitment that leads to a better muscle perfusion and a reduction in oxygen consumption during the subsequential cycling performance.,Muscle Perfusion And Metabolic Preconditioning Model,implicit,consistent,TRUE,A greater lower-body muscle activation and recruitment during the swim leads to better muscle perfusion and a reduction in oxygen consumption during the subsequent cycling.,The hypothesis is consistent with the model's premise that prior high-intensity exercise (swim kicks) can improve physiological parameters like muscle perfusion and VO2 kinetics for a subsequent exercise (cycling).
Study042,Older adults might have decreased foot core capacities during quiet standing.,Foot Core System,implicit,consistent,FALSE,NA,"The hypothesis is consistent with the Foot Core System theory, which posits that aging induces alterations in foot core capacities such as muscle atrophy and cutaneous sensitivity decline."
Study042,Older adults might adopt different neuromuscular control strategies during quiet standing.,Muscle Synergy Theory,implicit,consistent,FALSE,NA,"The hypothesis is consistent with Muscle Synergy Theory, which provides a framework for understanding how the CNS controls muscle groups, and the introduction suggests aging may lead to alterations in neuromuscular control strategies."
Study043,HIIT 4 × 4 min would improve VȮ2max and long-distance endurance performance more than both SIT protocols,NA,none,none,TRUE,the greater overload on oxygen transport during HIIT,"This hypothesis is empirically motivated by a prior study in males, not derived from any named theoretical framework."
Study043,both SIT protocols would improve anaerobic capacity and sprint endurance performance more than HIIT 4 × 4 min,NA,none,none,TRUE,the anaerobic system is typically highly taxed during SIT,"This hypothesis is based on the known physiological demands of SIT protocols, not on a formal theory."
Study043,no differences between HIIT and SIT would be apparent for running economy and LT as a percentage of VȮ2max,NA,none,none,FALSE,NA,"This hypothesis is a null prediction based on prior mixed findings, not grounded in a theoretical framework."
Study044,Correlations would exist between lead-leg and back-leg extension strength and upper extremity kinematics and kinetics.,Kinetic Chain Model Of Pitching,implicit,consistent,TRUE,"The pitching cycle derives energy from the lower extremities and transfers this energy via pelvic and trunk rotation to the upper extremities to produce throwing velocity. Therefore, strengthening of the lower extremities, as the origin of the energy transferred to the throwing arm, has been hypothesized to enhance performance as well as avoid injury.",The hypothesis is consistent with the kinetic chain model's core premise that energy transfer from the lower to upper extremities is fundamental to pitching mechanics.
Study044,Correlations would exist between peak elbow-valgus torque (EVT) and peak shoulder internal-rotation torque with lead-hip and back-hip strength.,Kinetic Chain Model Of Pitching,implicit,consistent,TRUE,Strengthening the musculature involved with lumbopelvic control in the lower extremities helps divert excessive upper extremity forces and reduce the risk of resulting injury.,"The hypothesis is consistent with the kinetic chain model's application to injury risk, where proximal strength may modulate distal joint loads."
Study045,Those who participate in a 12-week isometric neck strengthening program will have greater strength improvements compared to those who do not.,Neck Strength And Girth As A Modifiable Risk Factor For Src,implicit,consistent,TRUE,"Greater neck strength results in greater tensile stiffness and cross-sectional area of the muscles, allowing for more effective absorption of external forces from impacts, as well as greater contraction speed, allowing for better positioning and bracing of the head-neck segment prior to impact.","The hypothesis that a strengthening program will increase neck strength is consistent with the theoretical premise that neck strength is a modifiable factor, but the theory does not logically entail the specific efficacy of a 12-week program."
Study046,Physiological and perceptual responses to pedaling cadence would follow curvilinear curves with different optimal cadences depending on the parameter considered.,NA,none,none,FALSE,NA,"The hypothesis is derived from an empirical pattern observed in concentric cycling literature, not from a formal theoretical framework."
Study046,Optimal cadence would increase with power output.,NA,none,none,FALSE,NA,"The hypothesis is extrapolated from prior empirical findings in concentric cycling, not from a causal or mathematical theory."
Study047,Very low-volume HIFT will attenuate cardiorespiratory adaptations but promote greater neuromuscular effects than SIT.,NA,none,none,FALSE,NA,The hypothesis is not linked to any theoretical framework; it is motivated by a synthesis of prior empirical findings.
Study048,"Individuals with CAI would show a lower maximal isometric strength, steadiness, and accuracy of both knee extensor and flexor muscles in comparison with healthy controls.",NA,none,none,FALSE,NA,The hypothesis is not linked to any theoretical framework; it is motivated by a synthesis of prior empirical findings and methodological considerations.
Study049,A greater level of evoked torque would be generated by wide-pulse NMES protocols compared to conventional NMES.,Axonal Strength-Duration Properties,implicit,consistent,TRUE,"Wider pulses depolarize sensory axons more effectively due to their longer strength-duration time constant and lower rheobase than motor axons, leading to greater afferent volleys and potentially greater evoked torque.","The hypothesis is consistent with the theory that wider pulses are more effective at depolarizing axons, but the theory does not strictly entail a direct increase in evoked torque from muscle belly stimulation."
Study049,The higher torque from wide-pulse NMES would lead to greater objective fatigability compared to conventional NMES.,Dose-Response Relationship (NMES Effectiveness),implicit,consistent,TRUE,"A greater evoked torque (the 'dose') is expected to lead to a greater decrease in MVC torque (the 'response' of fatigability), as objective fatigability is a known limiting factor of NMES related to peripheral alterations.","The hypothesis is consistent with a general dose-response principle where a higher mechanical output (torque) leads to a greater physiological consequence (fatigue), but it is not a direct deduction from a formal dose-response theory."
Study049,The higher torque from wide-pulse NMES would lead to greater changes in CNS excitability compared to conventional NMES.,Axonal Strength-Duration Properties,implicit,abductive,TRUE,"Wider pulses depolarize sensory axons more effectively, leading to greater transmission of afferent volleys to the CNS, which can modulate CNS excitability (e.g., increase MEP amplitude).","The hypothesis is abductively inferred from prior findings that wide-pulse NMES can increase CNS excitability at low intensities, now extended to a high-intensity, clinically relevant context."
